gene,location,confidence
AKT1,Nucleus,1.0
AKT1,Cytoskeleton,1.0
AKT1S1,Cytosol,1.0
AKT2,Nucleus,1.0
AKT2,Vesicles,2.0
AKT2,Cytosol,1.0
AKT3,Cytosol,1.0
AL021546.6,Mitochondria,2.0
AL356585.2,Nucleolus,0.0
AL356585.2,Cytosol,0.0
AL589743.1,Cytosol,2.0
ALAS1,Nucleus,1.0
ALAS1,Mitochondria,4.0
ALB,Endoplasmic reticulum,3.0
ALB,Golgi apparatus,3.0
ALDH16A1,Mitochondria,1.0
ALDH18A1,Mitochondria,3.0
ALDH1A1,Cytosol,3.0
ALDH1A3,Nucleus,3.0
ALDH1A3,Cytosol,3.0
ALDH1B1,Nucleus,1.0
ALDH1B1,Vesicles,1.0
ALDH1B1,Mitochondria,3.0
ALDH1L1,Cytosol,3.0
ALDH1L2,Mitochondria,2.0
ALDH3A1,Vesicles,2.0
ALDH3A1,Cytosol,3.0
ALDH3A1,Plasma membrane,2.0
ALDH5A1,Mitochondria,5.0
ALDH6A1,Mitochondria,4.0
ALDH7A1,Cytosol,1.0
ALDH7A1,Mitochondria,4.0
ALDH8A1,Cytoskeleton,2.0
ALDH9A1,Cytosol,2.0
ALDOA,Cytosol,1.0
ALDOC,Nucleus,2.0
ALDOC,Nucleolus,2.0
ALDOC,Vesicles,2.0
ALDOC,Cytosol,2.0
ALG1,Nucleolus,2.0
ALG1,Endoplasmic reticulum,5.0
ALG10,Endoplasmic reticulum,2.0
ALG10B,Endoplasmic reticulum,2.0
ALG12,Endoplasmic reticulum,2.0
ALG14,Nucleus,2.0
ALG14,Nucleolus,2.0
ALG1L2,Nucleolus,0.0
ALG1L2,Endoplasmic reticulum,0.0
ALG2,Cytoskeleton,3.0
ALG2,Cytosol,3.0
ALG5,Cytosol,2.0
ALG6,Endoplasmic reticulum,4.0
ALG8,Nucleus,2.0
ALG9,Endoplasmic reticulum,5.0
ALK,Plasma membrane,2.0
ALKBH2,Nucleus,3.0
ALKBH3,Nucleus,3.0
ALKBH3,Mitochondria,0.0
ALKBH5,Nucleus,2.0
ALKBH5,Golgi apparatus,2.0
ALKBH5,Cytosol,2.0
ALKBH6,Nucleus,1.0
ALKBH6,Cytoskeleton,2.0
ALKBH8,Nucleus,1.0
ALKBH8,Nucleus,1.0
ALMS1,Cytosol,2.0
ALOX12,Nucleus,2.0
ALOX12,Cytosol,1.0
ALOX12B,Cytosol,2.0
ALOX15B,Cytosol,2.0
ALOX5,Nucleus,1.0
ALOXE3,Cytosol,2.0
ALOXE3,Plasma membrane,2.0
ALPI,Plasma membrane,6.0
ALPK1,Cytoskeleton,2.0
ALPK2,Cytosol,2.0
ALPK3,Nucleus,2.0
ALPL,Cytosol,2.0
ALPP,Plasma membrane,10.0
ALPPL2,Plasma membrane,4.0
ALS2,Cytoskeleton,2.0
ALS2,Cytosol,2.0
ALS2CR12,Cytosol,2.0
ALS2CR12,Plasma membrane,2.0
ALX1,Nucleus,1.0
ALX1,Nucleus,1.0
ALX1,Golgi apparatus,0.0
ALX4,Nucleus,1.0
ALYREF,Nucleus,3.0
AMACR,Vesicles,1.0
AMACR,Plasma membrane,2.0
AMBRA1,Vesicles,2.0
AMBRA1,Mitochondria,2.0
AMD1,Nucleus,2.0
AMDHD1,Cytoskeleton,2.0
AMDHD1,Cytoskeleton,2.0
AMDHD1,Plasma membrane,2.0
AMDHD2,Nucleolus,2.0
AMDHD2,Cytosol,2.0
AMER1,Nucleus,1.0
AMER1,Vesicles,1.0
AMER1,Plasma membrane,1.0
AMER3,Nucleus,2.0
AMER3,Nucleus,1.0
AMER3,Cytosol,2.0
AMFR,Endoplasmic reticulum,4.0
AMFR,Golgi apparatus,2.0
AMHR2,Vesicles,2.0
AMIGO1,Nucleus,2.0
AMIGO1,Nucleus,2.0
AMIGO2,Golgi apparatus,2.0
AMIGO2,Cytosol,2.0
AMIGO2,Plasma membrane,6.0
AMMECR1L,Nucleus,2.0
AMMECR1L,Cytosol,2.0
AMN1,Cytoskeleton,2.0
AMOTL1,Plasma membrane,1.0
AMOTL1,Cytosol,1.0
AMOTL2,Cytoskeleton,2.0
AMOTL2,Plasma membrane,2.0
AMPD2,Cytosol,3.0
AMPD3,Nucleus,3.0
AMPH,Cytosol,1.0
AMPH,Plasma membrane,2.0
AMT,Nucleus,2.0
AMT,Mitochondria,1.0
AMZ2,Nucleus,1.0
AMZ2,Nucleus,2.0
AMZ2,Cytosol,2.0
ANAPC1,Vesicles,2.0
ANAPC10,Nucleus,2.0
ANAPC10,Golgi apparatus,2.0
ANAPC11,Nucleus,3.0
ANAPC11,Nucleolus,3.0
ANAPC13,Cytosol,2.0
ANAPC13,Mitochondria,2.0
ANAPC15,Nucleus,2.0
ANAPC15,Vesicles,2.0
